Service Name,Date,Time,Earnings (RS),Package,Category,Verification Type,Captcha,Encryption,Rate Limits,Endpoints Involved,Bot Protection,Complexity Index,Status
JvSpinBet,"7th May, Thursday",12:15,400,org.jvspinbet.client,Gambling/Betting,SMS,Visual,HTTPS,300s (RAS),4,Captcha,3,Completed
Utair,"7th May, Thursday",12:35,400,ru.utair.android,Transport/Rideshare,Unknown,undefined,Standard HTTPS with Bearer Token and Custom Headers (timestamph),5-minute cooldown required for successful SMS delivery on second attempt.,5,Internal (Session and Device ID tracking),2,Completed
ViYa Lite,"7th May, Thursday",15:05,400,com.kinkey.vgolite,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,Completed
JvSpinBet,"6th May, Wednesday",17:15,400,org.jvspinbet.client,Gambling/Betting,SMS,Visual,HTTPS,300s (RAS),4,Captcha,3,Completed
OpenTable,"3rd May, Sunday",14:41,400,com.opentable,General,Unknown,undefined,Standard TLS with OAuth2 (bearer token),Unknown,Unknown,Unknown,1,Completed
Qantas,"3rd May, Sunday",15:33,400,au.com.qantas.qantas,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,Completed
JoyBuy,"3rd May, Sunday",15:52,400,com.joybuy.jdi,Delivery/E-commerce,Unknown,Xiaomi CAPTCHA (Slider),AES Encrypted identifiers + Request Signing (sign),Unknown,Unknown,Unknown,3,Completed
ForDeal,"3rd May, Sunday",16:13,400,com.fordeal.android,General,SMS,undefined,Custom Signing (sign header) & Encrypted Payload (f-g header),Unknown,2,Custom API Signatures,3,Completed
KwikPay,"3rd May, Sunday",16:40,400,com.kwikpay.transfers,Fintech/Crypto,Unknown,Yandex SmartCaptcha,Custom request signing using 'X-Signature' and 'X-Signature-Date' headers.,180s cooldown enforced via 'repeat_delay' in response.,Unknown,Yandex SmartCaptcha.,4,Completed
Deriv,"2nd May, Saturday",10:30,400,com.deriv.home,Fintech/Crypto,Unknown,undefined,Standard JSON/HTTPS,Unknown,Unknown,Unknown,1,Completed
jameda,"2nd May, Saturday",10:50,500,de.jameda,General,Unknown,reCAPTCHA v2 Invisible (Google),None,Unknown,Unknown,Google reCAPTCHA,2,Completed
weststein,"2nd May, Saturday",11:10,400,com.weststeincard.weststein,General,Unknown,reCAPTCHA v2 (Google),None,Unknown,Unknown,Google reCAPTCHA,2,Completed
pro1bet,"2nd May, Saturday",12:00,400,org.pro1bet.client,Gambling/Betting,Unknown,Image Captcha,None,Unknown,Unknown,Image Captcha,2,Completed
xtb,"2nd May, Saturday",12:10,400,com.xtb.xmobile2,Fintech/Crypto,Unknown,None,Protobuf (Binary),Unknown,Unknown,None,1,Completed
Flowwow,"2nd May, Saturday",13:15,400,com.flowwow,General,Unknown,undefined,Custom MD5 Hash,Unknown,Unknown,Custom Hash signing,2,Completed
uo verify (Urban Outfitters),"1st May, Friday",12:45,400,com.urbanoutfitters.android,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,Completed
Tuda,"30th April, Thursday",09:50,400,com.tuda.android,General,Unknown,undefined,Dynamic request signature (sig parameter),60 seconds (NextTryInSeconds),Unknown,Custom request signing (HMAC-like sig),1,Completed
Paybis,"30th April, Thursday",10:10,400,com.paybis,Fintech/Crypto,Unknown,reCaptcha v3,HTTPS,Variable (see expirationTime),Unknown,Cloudflare + reCaptcha,4,Completed
Boxy,"30th April, Thursday",10:50,400,com.client.boxy,General,Unknown,undefined,HTTPS,undefined,Unknown,None observed,1,Completed
ClubApparel,"30th April, Thursday",11:10,400,com.appemirates.clubapparel,General,Unknown,undefined,HTTPS,undefined,Unknown,AWS Lambda Proxy + OAuth/Basic Auth,1,Completed
wave,"29th April, Wednesday",10:00,400,com.wave.personal,General,Unknown,reCAPTCHA Enterprise,HTTPS / GraphQL,Unknown,Unknown,Unknown,1,Completed
eneba,"29th April, Wednesday",10:15,400,com.eneba.app,General,Unknown,Cloudflare Challenge Platform,HTTPS / OAuth,Strict (Cloudflare),Unknown,Unknown,1,Completed
maxim,"29th April, Wednesday",10:30,400,com.taxsee.taxsee,General,Unknown,None,HTTPS,Moderate (Signature based),Unknown,Unknown,1,Completed
Poppo Live,"29th April, Wednesday",10:45,400,com.baitu.qingshu,Social/Live,Unknown,Aliyun Captcha (Turnstile alternative),"Advanced (HMAC-SHA1, ShuMei)",Strict (Aliyun + ShuMei),Unknown,Unknown,1,Completed
buz,"29th April, Wednesday",11:00,400,com.interfun.buz,General,Unknown,None,HTTPS,Moderate (Device/Trace based),Unknown,Unknown,1,Completed
Rednote,"29th April, Wednesday",11:15,400,com.xingin.xhs,General,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,Completed
ColdBet,"29th April, Wednesday",11:30,400,org.coldbet.client,Gambling/Betting,Unknown,Custom Image Captcha,HTTPS,Moderate (Token/Guid based),Unknown,Unknown,1,Completed
Bitget,"29th April, Wednesday",11:45,400,com.bitget.exchange,General,Unknown,Behavioral Captcha (Geetest-like),"Advanced (x-sign, dy-token)",Strict (WAF/RASP protected),Unknown,Unknown,1,Completed
Klook,"29th April, Wednesday",12:00,400,com.klook,Delivery/E-commerce,Unknown,DataDome Interstitial,"Advanced (x-signature, Forter)",Strict (next_timestamp_sec),Unknown,Unknown,1,Completed
SoulChill,"29th April, Wednesday",12:15,400,com.live.soulchill,Social/Live,Unknown,Geetest v4 / reCAPTCHA,Advanced (Momo mzip encryption),Strict (Momo Security Stack),Unknown,Unknown,1,Completed
PaySend,"29th April, Wednesday",11:10,400,com.paysend.app,Fintech/Crypto,Unknown,undefined,None,Unknown,2,Cloudflare,4,Completed
AMO,"29th April, Wednesday",11:53,400,com.xiaoyu.amo,General,Unknown,undefined,None,Unknown,2,Cloudflare,4,Completed
